ID,Name,Volume,Price,Sale Price,Sale Ends,Proof,Type,Category,url,image,relative_1,relative_2,relative_3
2468,Crown Royal Northern Harvest Rye,750mL,$29.99 ,-,-,90,Whiskey Imported,Canadian Fb,/products/detail/2468/crown_royal_northern_harvest_rye,FALSE,2499,2418,2476
2508,Crown Royal Northern Harvest Rye,50mL,$2.99 ,$1.99 ,-,90,Whiskey Imported,Canadian Fb,/products/detail/2508/crown_royal_northern_harvest_rye,FALSE,2465,2219,2476
2418,Crown Royal Regal Apple,750mL,$26.99 ,-,-,70,Whiskey Imported,Canadian Fb,/products/detail/2418/crown_royal_regal_apple,FALSE,2476,1532,2499
2494,Crown Royal Regal Apple,1.75L,$46.99 ,-,-,70,Whiskey Imported,Canadian Fb,/products/detail/2494/crown_royal_regal_apple,FALSE,2466,2496,8680
2435,Crown Royal Rsv,750mL,$40.99 ,-,-,80,Whiskey Imported,Canadian Fb,/products/detail/2435/crown_royal_rsv,FALSE,2675,441,2499
2327,Crown Royal Shot Glass Set W/ 50ml Apple,750mL + 1/,$26.99 ,$22.99 ,10/30/2016,80,Whiskey Imported,Canadian Fb,/products/detail/2327/crown_royal_shot_glass_set_w_50ml_apple,FALSE,2675,441,2499
2438,Crown Royal Special Reserve,1.75L,$72.99 ,-,-,80,Whiskey Imported,Canadian Fb,/products/detail/2438/crown_royal_special_reserve,FALSE,2496,2494,2466
2219,Crown Royal Vanilla,50mL,$1.99 ,-,-,70,Whiskey Imported,Canadian Fb,/products/detail/2219/crown_royal_vanilla,FALSE,2508,2465,2466
2244,Crown Royal Vanilla,750mL,$26.99 ,$22.99 ,10/30/2016,70,Whiskey Imported,Canadian Fb,/products/detail/2244/crown_royal_vanilla,FALSE,2418,2476,1532
1003,Crown Royal W/1 Glass & 1 Coaster,750mL,$26.99 ,$22.99 ,10/30/2016,80,Whiskey Imported,Canadian Fb,/products/detail/1003/crown_royal_w_1_glass_1_coaster,FALSE,2418,2476,1532
2255,Crown Royal W/2 Plastic Cups Party Pak,1.75L,$46.99 ,$39.99 ,10/30/2016,80,Whiskey Imported,Canadian Fb,/products/detail/2255/crown_royal_w_2_plastic_cups_party_pak,FALSE,2494,2466,2496
